stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Kranthiveera Sangolli Rayanna Railway Station,,KSRSTNGT3,23446,Kranthiveera Sangolli Rayanna Railway Station (Towards Departure),12.97849,77.56986,,
Krishna Garden BHEL Layout,,KGHLA,31264,Krishna Garden BHEL Layout (Towards Omkar Hills),12.91309,77.50703,,
Krishna Garden BHEL Layout,,KGHLA,33584,Krishna Garden BHEL Layout (Towards BHEL Layout),12.9131,77.507,,
Krishnananda Nagara,,KRNGR1,31269,Krishnananda Nagara (Towards Jai Bhuvaneshwari Nagara),13.01849,77.53968,,
Krishnananda Nagara,,KRNGR1,33587,Krishnananda Nagara (Towards Kanteerava Studio),13.01856,77.53963,,
Krishnananda Nagara,,KRSNGR1,33585,Krishnananda Nagara (Towards Goraguntepalya Ring Road),13.01816,77.54127,,
Krishnananda Nagara,,KRSNGR1,33586,Krishnananda Nagara (Towards Mahalakshmi Layout),13.01822,77.54127,,
Krishnasagara,,KRISHS,33589,Krishnasagara (Towards Katriguppe),12.93204,77.55573,,
Krishnasagara,,KRISHS,33590,Krishnasagara (Towards Vidyapeeta Circle),12.932,77.55565,,
Krishnasagara,,KRS,31273,Krishnasagara (Towards Tavarakere),12.93605,77.42872,,
Krishnasagara,,KRS,33588,Krishnasagara (Towards Kommaghatta),12.93612,77.42869,,
Krishnasagara,,KRSGH,39396,Krishnasagara (Towards Last Stop),12.78015,77.74776,,
Krishnayyana Doddy,,KHBS1,31275,Krishnayyana Doddy (Towards Muthurayaswamy Doddy),12.75264,77.61167,,
Krishnayyana Doddy,,KHBS1,33591,Krishnayyana Doddy (Towards Mahanthalingapura),12.75264,77.61165,,
Krishnayyana Palya NGEF,,KRYP,31277,Krishnayyana Palya NGEF (Towards NGEF),12.99191,77.65161,,
Krishnayyana Palya NGEF,,KRYP,33592,Krishnayyana Palya NGEF (Towards Benniganahalli),12.99182,77.65184,,
