table_name,field_name,record_id,language,translation
stops,stop_name,32772,kn,ಅಡಿಗೊಂಡನಹಳ್ಳಿ ಜಂಕ್ಷನ್ (ಟುವರ್ಡ್ಸ್  ಅಡಿಗೊಂಡನಹಳ್ಳಿ)
stops,stop_name,29445,kn,ಅಡ್ಡಿಗಾನಹಳ್ಳಿ (ಟುವರ್ಡ್ಸ್  ಆದಿಗೊಂಡನಹಳ್ಳಿ ಎಕ್ಸ್‌ಟೆನ್ಶನ್)
stops,stop_name,29447,kn,ಜೈ ಭೀಮ್ ನಗರ (ಆಡೋ ಸೊನ್ನಹಟ್ಟಿ) (ಟುವರ್ಡ್ಸ್  ಆಡೊ ಸೊನ್ನಹಟ್ಟಿ)
stops,stop_name,23817,kn,ಹೊಸೂರು ರೋಡ್ ಜಂಕ್ಷನ್ (ಟುವರ್ಡ್ಸ್  ಆಡುಗೋಡಿ)
stops,stop_name,35220,kn,ಪೋತಲಪ್ಪ ಗಾರ್ಡನ್ (ಟುವರ್ಡ್ಸ್  ಆಡುಗೋಡಿ)
stops,stop_name,23799,kn,ಎಲೈನ್‌ ಫ್ಲೋರ್‌ ಮಿಲ್ (ಟುವರ್ಡ್ಸ್  ಆಡುಗೋಡಿ)
stops,stop_name,24274,kn,ಮೈಕೋ ಫ್ಯಾಕ್ಟರಿ ಜಂಕ್ಷನ್ (ಟುವರ್ಡ್ಸ್  ಆಡುಗೋಡಿ)
stops,stop_name,22990,kn,ಆಡುಗೋಡಿ ಆರಕ್ಷಕ ಠಾಣೆ (ಟುವರ್ಡ್ಸ್  ಆಡುಗೋಡಿ)
stops,stop_name,23798,kn,ಜಾನ್ಸನ್‌ ಮಾರುಕಟ್ಟೆ (ಟುವರ್ಡ್ಸ್  ಆಡುಗೋಡಿ)
stops,stop_name,23800,kn,ಆನೆಪಾಳ್ಯ (ಟುವರ್ಡ್ಸ್  ಆಡುಗೋಡಿ)
stops,stop_name,23797,kn,ಶೂಲೆ ವೃತ್ತ ಬ್ರಿಗೇಡ್ ರಸ್ತೆ (ಟುವರ್ಡ್ಸ್  ಅಡುಗೋಡಿ)
stops,stop_name,23657,kn,ಬ್ರಿಗೇಡ್‌ ರಸ್ತೆ (ಟುವರ್ಡ್ಸ್  ಆಡುಗೋಡಿ)
stops,stop_name,24070,kn,ಮೈಕೋ ಗೇಟ್‌ ಆಡುಗೋಡಿ (ಟುವರ್ಡ್ಸ್  ಆಡುಗೋಡಿ)
stops,stop_name,33487,kn,ಕೆ ಐ ಎ ಡಿ ಬಿ ವೃತ್ತ ಬಾಗಲೂರು (ಟುವರ್ಡ್ಸ್  ಏರೋಸ್ಪೇಸ್‌ ಬಾಗಲೂರು)
stops,stop_name,29452,kn,ಎರೋ ಸ್ಪೇಸ್ ಬಾಗಲೂರು (ಟುವರ್ಡ್ಸ್  ಎರೋ ಸ್ಪೇಸ್ ಬಾಗಲೂರು)
stops,stop_name,26020,kn,ಎಚ್ಎಸ್ಆರ್ ಬಡಾವಣೆ ಆರಕ್ಷಕ ಠಾಣೆ (ಟುವರ್ಡ್ಸ್  ಅಗರ ಹೆಚ್‌ಎಸ್‌ಆರ್‌ ಬಡಾವಣೆ 27ನೇ ಮೈನ್)
stops,stop_name,24297,kn,ಎಚ್‌ಎಸ್‌ಆರ್ ಲೇಔಟ್ 22ನೇ ಕ್ರಾಸ್ (ಪರಂಗಿಪಾಳ್ಯ ಕ್ರಾಸ್) (ಟುವರ್ಡ್ಸ್  ಅಗರ ಜಂಕ್ಷನ್)
stops,stop_name,24298,kn,ಎನ್‌ ಐ ಎಫ್‌ ಟಿ ಕಾಲೇಜು (ಟುವರ್ಡ್ಸ್  ಅಗರ ಜಂಕ್ಷನ್)
stops,stop_name,24300,kn,19 ನೇ ಮುಖ್ಯ ರಸ್ತೆ 13 ನೇ ಕ್ರಾಸ್‌ ಹೆಚ್‌ಎಸ್‌ಆರ್ ಲೇಔಟ್ (ಟುವರ್ಡ್ಸ್  ಅಗರ ಜಂಕ್ಷನ್)
stops,stop_name,25758,kn,ಹರಳೂರು ಕ್ರಾಸ್ (ಟುವರ್ಡ್ಸ್  ಅಗರ ಜಂಕ್ಷನ್)
stops,stop_name,32986,kn,ಎಚ್ಎಸ್ಆರ್ ಬಡಾವಣೆ ಬೆಸ್ಕಾಂ ಆಫೀಸ್ (ಟುವರ್ಡ್ಸ್  ಅಗರ ಜಂಕ್ಷನ್)
stops,stop_name,22902,kn,ಎಚ್ಎಸ್ಆರ್ ಲೇಔಟ್ 2ನೇ ಸೆಕ್ಟರ್ (ಟುವರ್ಡ್ಸ್  ಅಗರ ಜಂಕ್ಷನ್)
stops,stop_name,35535,kn,ಅಗ್ರಹಾರ ಬಡಾವಣೆ (ಟುವರ್ಡ್ಸ್  ಅಗ್ರಹಾರ ಬಡಾವಣೆ)
stops,stop_name,31848,kn,ಇಟ್ಟಿಗೆ ಫ್ಯಾಕ್ಟರಿ (ಟುವರ್ಡ್ಸ್  ಅಗ್ರಹಾರ ಬಡಾವಣೆ)
stops,stop_name,28133,kn,ಸಂಪಿಗೆಹಳ್ಳಿ (ಟುವರ್ಡ್ಸ್  ಅಗ್ರಹಾರ ಬಡಾವಣೆ ಅಡ್ಡರಸ್ತೆ)
stops,stop_name,39904,kn,ಬನಶಂಕರಿ ಬಡಾವಣೆ (ಟುವರ್ಡ್ಸ್  ಆಗ್ರೋ ರೀಸರ್ಚ್‌ ಪೌಂಡೇಷನ್)
stops,stop_name,33102,kn,ಜಾಲಹಳ್ಳಿ ವೆಸ್ಟ್ ಶೆಟ್ಟಿಹಳ್ಳಿ ರಸ್ತೆ (ಟುವರ್ಡ್ಸ್  ಏರ್ ಫೋರ್ಸ್ ಕ್ವಾಟರ್ಸ್)
stops,stop_name,38068,kn,ಕೆಂಪೇಗೌಡ ಅಂತರಾಷ್ಟ್ರೀಯ ವಿಮಾನದ ನಿಲ್ದಾಣ ಹಿಂದಿನ ಗೇಟ್ (ಟುವರ್ಡ್ಸ್  ಕಾರ್ಗೊ ವಿಲೇಜ್)
stops,stop_name,35151,kn,ಅಲ್ಲಾಳಸಂದ್ರ ಗೇಟ್ ಫ್ಲೈ (ಟುವರ್ಡ್ಸ್  ಏರ್ಪೋರ್ಟ್)
stops,stop_name,28956,kn,ಮೀನಕುಂಟೆ ಹೊಸೂರು (ಟುವರ್ಡ್ಸ್  ಏರ್ ಪೋರ್ಟ್ ಟ್ರಂಪೆಟ್)
stops,stop_name,25886,kn,ಹಿರಾನಂದನಿ ವಿಲಾಸ್ (ಟುವರ್ಡ್ಸ್  ಏರ್ಪೋರ್ಟ್ ಟ್ರಂಪೆಟ್)
stops,stop_name,38070,kn,ಡಿ ಎಚ್ಎಫ್ ಎಲ್ (ಟುವರ್ಡ್ಸ್  ಏರ್ ರ್ಪೋರ್ಟ್ ಟ್ರಂಪೆಟ್)
stops,stop_name,34466,kn,ಸಣ್ಣ  ಅಮಾನಿಕೆರೆ (ಟುವರ್ಡ್ಸ್  ಏರ್ ಪೋರ್ಟ್‌ ಟ್ರಂಪೆಟ್)
stops,stop_name,29101,kn,ಮುತ್ತಾನಲ್ಲೂರು ಅಮಾನಿಕೆರೆ (ಟುವರ್ಡ್ಸ್  ಅಲಿ ಬೊಮ್ಮಸಂದ್ರ)
stops,stop_name,33688,kn,ಲಕ್ಷ್ಮಿಸಾಗರ (ಟುವರ್ಡ್ಸ್   ಅಲಿ ಬೊಮ್ಮಸಂದ್ರ)
stops,stop_name,29480,kn,ಅಲ್ಲಾಳಸಂದ್ರ (ಟುವರ್ಡ್ಸ್  ಅಲ್ಲಾಳಸಂದ್ರ ಲಾಸ್ಟ್ ಸ್ಟಾಪ್)
stops,stop_name,35507,kn,ಅಮರಜ್ಯೋತಿ ಬಡಾವಣೆ (ಟುವರ್ಡ್ಸ್  ಅಮರಜ್ಯೋತಿ ಬಡಾವಣೆ)
stops,stop_name,35503,kn,ಅಂಬೇಡ್ಕರ್‌ ಮೆಡಿಕಲ್‌ ಕಾಲೇಜು ಶಾಂಪುರ (ಟುವರ್ಡ್ಸ್  ಅಂಬೇಡ್ಕರ್‌ ಮೆಡಿಕಲ್‌ ಕಾಲೇಜು ಶಾಂಪುರ)
stops,stop_name,35495,kn,ಅನಗಲಿಪುರ (ಟುವರ್ಡ್ಸ್  ಅನಗಲಿಪುರ ಕ್ರಾಸ್)
stops,stop_name,23354,kn,ಶಿವಾನಂದ ಸ್ಟೋರ್ (ಟುವರ್ಡ್ಸ್  ಆನಂದ್‌ ರಾಂ ವೃತ್ತ)
